AllStar,Year,Player,PER,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,SsnScr,SsnScr_norm,PosGrp,Percentile
False,2018,Tyler Cavanaugh,13.0,0.9,0.3,1.2,0.109,0.5,-1.5,-1.0,0.1,0.2151145857777828,0.3619219844872188,FrontCourt,0.65
False,2018,Mario Chalmers,10.4,-0.6,1.3,0.6,0.021,-2.2,-0.5,-2.7,-0.3,0.31133458150373805,0.5238084120140969,BackCourt,0.3375
False,2018,Tyson Chandler,14.2,1.9,0.8,2.7,0.111,-1.3,1.0,-0.3,0.5,0.27341092138875117,0.4600033181930138,FrontCourt,0.49
False,2018,Wilson Chandler,10.9,2.1,1.2,3.3,0.067,-0.5,-0.4,-0.9,0.6,0.344417320064448,0.5794688422395613,FrontCourt,0.2566666666666667
False,2018,Marquese Chriss,11.1,-0.8,1.5,0.7,0.023,-3.3,1.3,-2.0,0.0,0.33008006407039636,0.5553469626249975,FrontCourt,0.31000000000000005
False,2018,Ian Clark,9.4,0.3,0.8,1.1,0.037000000000000005,-2.0,-2.0,-3.9,-0.7,0.2771016606067329,0.46621284441908123,BackCourt,0.4375
False,2018,Jordan Clarkson,16.4,1.9,1.2,3.0,0.077,0.8,-2.7,-1.9,0.1,0.3689929614352134,0.6208164099221254,BackCourt,0.14583333333333337
False,2018,Gian Clavell,7.4,0.0,0.0,0.1,0.042,-1.7,-1.9,-3.6,0.0,0.1404714687126335,0.2363378221727322,BackCourt,0.8958333333333334
False,2018,Antonius Cleveland,4.5,-0.2,0.2,0.0,-0.006,-6.7,2.2,-4.5,-0.1,0.1535794308825293,0.2583914623941013,BackCourt,0.8375
False,2018,John Collins,18.3,3.4,2.0,5.4,0.145,-0.2,1.9,1.7,1.7,0.36916577516150784,0.6211071623438683,FrontCourt,0.18999999999999995
False,2018,Zach Collins,7.5,-0.7,1.3,0.6,0.03,-4.1,0.9,-3.2,-0.3,0.2510714630259774,0.4224180420770708,FrontCourt,0.5333333333333333
