Year,Team,Starter,Player,Tm,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%
1990,WEST,0,Clyde Drexler,POR,19:00,2,6,1,1,2,2,4,0,4,2,1,1,1,1,7,0.333,1,1
1990,WEST,0,Chris Mullin,GSW,16:00,1,5,0,0,1,2,1,2,3,1,2,1,1,0,3,0.2,,0.5
1990,WEST,0,Kevin Johnson,PHO,14:00,1,1,0,0,0,0,0,0,0,4,0,0,3,2,2,1,,
1991,EAST,1,Michael Jordan,CHI,12:00,10,25,0,2,6,7,3,2,5,5,2,0,10,2,26,0.4,0,0.857
1991,EAST,1,Charles Barkley,PHI,11:00,7,15,0,0,3,6,8,14,22,4,1,1,3,5,17,0.467,,0.5
1991,EAST,1,Patrick Ewing,NYK,6:00,8,10,0,0,2,2,2,8,10,0,1,4,2,5,18,0.8,,1
1991,EAST,1,Bernard King,WSB,2:00,2,8,0,0,4,4,2,1,3,3,0,1,1,1,8,0.25,,1
1991,EAST,1,Joe Dumars,DET,15:00,1,4,0,1,0,0,1,1,2,1,0,0,4,1,2,0.25,0,
1991,EAST,0,Dominique Wilkins,ATL,22:00,3,11,0,2,6,8,3,0,3,4,1,1,2,2,12,0.273,0,0.75
1991,EAST,0,Ricky Pierce,MIL,19:00,4,8,0,0,1,1,0,2,2,2,0,0,2,2,9,0.5,,1
1991,EAST,0,Hersey Hawkins,PHI,14:00,3,5,0,1,0,0,0,0,0,1,0,0,1,1,6,0.6,0,
1991,EAST,0,Kevin McHale,BOS,14:00,0,3,0,1,2,2,1,2,3,2,1,0,0,2,2,0,0,1
1991,EAST,0,Brad Daugherty,CLE,12:00,3,7,0,0,2,3,3,2,5,1,0,0,0,3,8,0.429,,0.667
1991,EAST,0,Alvin Robertson,MIL,12:00,2,4,0,0,2,2,0,2,2,0,0,0,3,0,6,0.5,,1
1991,EAST,0,Robert Parish,BOS,5:00,1,2,0,0,0,0,1,3,4,0,0,0,1,2,2,0.5,,
1991,WEST,1,Karl Malone,UTA,7:00,6,11,0,0,4,6,4,7,11,4,1,1,3,1,16,0.545,,0.667
1991,WEST,1,Magic Johnson,LAL,4:00,7,16,2,5,0,0,1,3,4,3,0,0,3,1,16,0.438,0.4,
1991,WEST,1,Chris Mullin,GSW,0:00,4,8,1,1,4,4,0,2,2,2,2,0,2,2,13,0.5,1,1
1991,WEST,1,Kevin Johnson,PHO,23:00,2,5,0,0,1,2,1,1,2,7,3,1,3,2,5,0.4,,0.5
1991,WEST,1,David Robinson,SAS,18:00,6,13,0,0,4,5,3,3,6,0,2,3,2,5,16,0.462,,0.8
1991,WEST,0,James Worthy,LAL,21:00,3,11,0,0,3,4,0,2,2,0,2,1,0,2,9,0.273,,0.75
1991,WEST,0,Clyde Drexler,POR,19:00,4,9,0,0,4,4,2,2,4,2,1,1,0,3,12,0.444,,1
1991,WEST,0,Kevin Duckworth,POR,19:00,2,3,0,0,2,2,2,2,4,0,1,0,2,3,6,0.667,,1
1991,WEST,0,Tom Chambers,PHO,18:00,4,11,0,1,0,0,2,2,4,1,1,0,4,3,8,0.364,0,
1991,WEST,0,Terry Porter,POR,15:00,2,6,0,2,0,0,1,2,3,4,2,1,3,2,4,0.333,0,
1991,WEST,0,Tim Hardaway,GSW,12:00,2,7,1,2,0,0,2,1,3,4,2,0,0,1,5,0.286,0.5,
1991,WEST,0,John Stockton,UTA,12:00,1,6,0,1,2,4,0,1,1,2,0,0,0,2,4,0.167,0,0.5
1992,WEST,1,Magic Johnson,LAL,5:00,9,12,3,3,4,4,3,2,5,9,2,0,7,0,25,0.75,1,1
1992,WEST,1,Clyde Drexler,POR,4:00,10,15,2,4,0,0,2,7,9,6,0,2,1,2,22,0.667,0.5,
1992,WEST,1,Chris Mullin,GSW,0:00,6,7,1,1,0,0,0,1,1,3,0,0,1,0,13,0.857,1,
1992,WEST,1,Karl Malone,UTA,19:00,5,7,0,0,1,2,0,7,7,3,1,1,1,1,11,0.714,,0.5
1992,WEST,1,David Robinson,SAS,18:00,7,9,0,0,5,8,1,4,5,2,3,1,0,3,19,0.778,,0.625
1992,WEST,0,Jeff Hornacek,PHO,0:00,5,7,1,2,0,0,1,1,2,3,1,0,0,0,11,0.714,0.5,
1992,WEST,0,Tim Hardaway,GSW,20:00,5,10,2,5,2,2,0,0,0,7,1,0,2,2,14,0.5,0.4,1
1992,WEST,0,Hakeem Olajuwon,HOU,20:00,3,6,0,0,1,2,0,4,4,2,2,1,3,3,7,0.5,,0.5
1992,WEST,0,John Stockton,UTA,18:00,5,8,2,3,0,0,0,1,1,5,3,0,3,2,12,0.625,0.667,
1992,WEST,0,James Worthy,LAL,14:00,4,7,0,0,1,2,0,4,4,1,1,0,0,0,9,0.571,,0.5
1992,WEST,0,Dan Majerle,PHO,12:00,2,5,0,2,0,0,0,3,3,2,0,0,1,0,4,0.4,0,
1992,WEST,0,Dikembe Mutombo,DEN,10:00,2,4,0,0,0,0,1,1,2,1,1,0,2,0,4,0.5,,
1992,WEST,0,Otis Thorpe,HOU,4:00,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,,
1992,EAST,1,Michael Jordan,CHI,7:00,9,17,0,0,0,0,1,0,1,5,2,0,1,2,18,0.529,,
1992,EAST,1,Isiah Thomas,DET,4:00,7,14,1,3,0,0,0,1,1,5,3,0,3,0,15,0.5,0.333,
1992,EAST,1,Charles Barkley,PHI,4:00,6,14,0,2,0,0,2,7,9,1,0,0,3,3,12,0.429,0,
1992,EAST,1,Scottie Pippen,CHI,21:00,6,13,0,0,2,3,4,0,4,1,2,1,1,0,14,0.462,,0.667
1992,EAST,1,Patrick Ewing,NYK,17:00,4,7,0,0,2,5,2,2,4,0,2,1,2,3,10,0.571,,0.4
1992,EAST,0,Dennis Rodman,DET,1:00,2,7,0,0,0,0,7,6,13,0,1,0,2,1,4,0.286,,
1992,EAST,0,Joe Dumars,DET,17:00,2,7,0,2,0,0,0,1,1,3,0,0,2,0,4,0.286,0,
1992,EAST,0,Reggie Lewis,BOS,15:00,3,7,0,0,1,2,4,0,4,2,0,1,1,3,7,0.429,,0.5
1992,EAST,0,Brad Daugherty,CLE,15:00,3,8,0,0,0,0,3,3,6,1,1,0,3,0,6,0.375,,
1992,EAST,0,Mark Price,CLE,15:00,1,5,0,3,4,4,0,0,0,3,1,0,3,1,6,0.2,0,1
1992,EAST,0,Michael Adams,WSB,14:00,4,8,1,3,0,0,1,0,1,1,4,0,1,1,9,0.5,0.333,
1992,EAST,0,Kevin Willis,ATL,14:00,4,10,0,0,0,0,4,0,4,0,0,0,0,1,8,0.4,,
1993,WEST,1,Karl Malone,UTA,10:00,11,17,0,0,6,9,3,7,10,0,1,2,3,3,28,0.647,,0.667
1993,WEST,1,Charles Barkley,PHO,10:00,5,11,1,2,5,7,0,4,4,7,4,0,4,3,16,0.455,0.5,0.714
1993,WEST,1,John Stockton,UTA,7:00,3,6,1,2,2,2,0,6,6,15,2,0,5,3,9,0.5,0.5,1
1993,WEST,1,David Robinson,SAS,2:00,7,10,0,0,7,12,2,8,10,1,0,1,1,4,21,0.7,,0.583
1993,WEST,1,Clyde Drexler,POR,11:00,1,3,0,1,0,0,1,0,1,1,0,0,2,3,2,0.333,0,
1993,WEST,0,Dan Majerle,PHO,2:00,6,11,3,6,3,4,2,5,7,3,1,2,0,2,18,0.545,0.5,0.75
1993,WEST,0,Tim Hardaway,GSW,21:00,3,9,1,3,9,12,1,5,6,4,1,0,3,1,16,0.333,0.333,0.75
1993,WEST,0,Hakeem Olajuwon,HOU,21:00,1,5,0,0,1,2,2,5,7,1,2,2,3,3,3,0.2,,0.5
1993,WEST,0,Terry Porter,POR,19:00,3,8,1,5,0,0,0,0,0,3,1,0,1,1,7,0.375,0.2,
1993,WEST,0,Danny Manning,LAC,18:00,5,5,0,0,0,0,1,3,4,1,0,0,0,1,10,1,,
1993,WEST,0,Sean Elliott,SAS,15:00,1,6,0,0,3,4,1,1,2,0,0,0,1,1,5,0.167,,0.75
1993,WEST,0,Shawn Kemp,SEA,9:00,0,2,0,0,0,0,2,0,2,0,0,0,0,3,0,0,,
1993,EAST,1,Michael Jordan,CHI,12:00,10,24,1,2,9,13,3,1,4,5,4,0,6,5,30,0.417,0.5,0.692
1993,EAST,1,Isiah Thomas,DET,8:00,4,7,0,1,0,2,0,2,2,4,2,0,2,2,8,0.571,0,0
1993,EAST,1,Scottie Pippen,CHI,5:00,4,14,0,2,2,3,2,3,5,4,5,2,0,4,10,0.286,0,0.667
1993,EAST,1,Shaquille O'Neal,ORL,1:00,4,9,0,0,6,9,3,4,7,0,0,0,0,3,14,0.444,,0.667
1993,EAST,1,Larry Johnson,CHH,16:00,2,6,0,0,0,0,3,1,4,0,0,0,0,1,4,0.333,,
1993,EAST,0,Patrick Ewing,NYK,1:00,7,11,0,0,1,1,3,7,10,1,2,2,4,4,15,0.636,,1
1993,EAST,0,Mark Price,CLE,23:00,6,11,6,9,1,2,0,1,1,4,1,0,3,5,19,0.545,0.667,0.5
1993,EAST,0,Brad Daugherty,CLE,19:00,3,4,0,0,2,4,1,6,7,0,0,0,0,0,8,0.75,,0.5
1993,EAST,0,Dominique Wilkins,ATL,18:00,2,11,1,3,4,4,4,3,7,0,1,0,1,2,9,0.182,0.333,1
1993,EAST,0,Joe Dumars,DET,17:00,2,8,1,4,0,0,0,2,2,4,0,0,1,1,5,0.25,0.25,
1993,EAST,0,Detlef Schrempf,IND,13:00,1,3,0,1,1,2,0,3,3,0,0,0,1,4,3,0.333,0,0.5
1993,EAST,0,Larry Nance,CLE,12:00,3,4,0,0,1,2,1,2,3,1,1,1,0,3,7,0.75,,0.5
1994,EAST,1,Scottie Pippen,CHI,7:00,9,15,5,9,6,10,0,11,11,2,4,1,2,2,29,0.6,0.556,0.6
1994,EAST,1,Shaquille O'Neal,ORL,2:00,2,12,0,0,4,11,4,6,10,0,1,4,1,2,8,0.167,,0.364
1994,EAST,1,B.J. Armstrong,CHI,22:00,5,9,1,2,0,0,1,0,1,4,0,0,1,1,11,0.556,0.5,
1994,EAST,1,Derrick Coleman,NJN,18:00,1,6,0,2,0,0,1,2,3,1,1,1,0,3,2,0.167,0,
1994,EAST,1,Kenny Anderson,NJN,16:00,3,10,0,1,0,0,1,3,4,3,0,0,4,2,6,0.3,0,
1994,EAST,0,Patrick Ewing,NYK,0:00,7,15,0,0,6,7,4,4,8,1,0,0,1,2,20,0.467,,0.857
1994,EAST,0,Mark Price,CLE,22:00,8,10,2,3,2,2,0,2,2,5,1,1,0,1,20,0.8,0.667,1
1994,EAST,0,John Starks,NYK,20:00,4,9,1,3,0,0,1,2,3,3,1,0,2,1,9,0.444,0.333,
1994,EAST,0,Dominique Wilkins,ATL,17:00,4,9,0,2,3,6,2,0,2,4,0,0,0,1,11,0.444,0,0.5
1994,EAST,0,Horace Grant,CHI,17:00,2,8,0,0,0,0,6,2,8,2,1,2,1,0,4,0.25,,
1994,EAST,0,Mookie Blaylock,ATL,16:00,2,5,1,2,0,0,0,1,1,2,2,0,1,3,5,0.4,0.5,
1994,EAST,0,Charles Oakley,NYK,11:00,1,3,0,0,0,0,1,2,3,3,0,0,0,3,2,0.333,,
1994,WEST,1,Hakeem Olajuwon,HOU,6:00,8,15,0,0,3,6,4,7,11,2,2,5,3,4,19,0.533,,0.5
1994,WEST,1,Mitch Richmond,SAC,0:00,5,16,0,0,0,0,0,2,2,3,0,0,2,0,10,0.313,,
1994,WEST,1,Shawn Kemp,SEA,22:00,3,11,0,0,0,0,6,6,12,4,0,3,6,4,6,0.273,,
1994,WEST,1,Karl Malone,UTA,21:00,3,9,0,0,0,0,3,4,7,2,1,0,1,2,6,0.333,,
1994,WEST,1,Clyde Drexler,POR,15:00,3,7,0,2,0,0,0,3,3,1,1,1,1,1,6,0.429,0,
1994,WEST,0,John Stockton,UTA,2:00,6,10,1,1,0,0,1,4,5,10,1,0,4,2,13,0.6,1,
1994,WEST,0,David Robinson,SAS,21:00,6,13,0,0,7,10,3,2,5,0,0,2,1,2,19,0.462,,0.7
1994,WEST,0,Clifford Robinson,POR,18:00,5,8,0,1,0,0,1,1,2,5,1,0,0,0,10,0.625,0,
1994,WEST,0,Danny Manning,LAC,17:00,4,7,0,0,0,0,0,4,4,2,0,1,0,4,8,0.571,,
1994,WEST,0,Gary Payton,SEA,17:00,3,4,0,0,0,0,2,4,6,9,0,0,0,2,6,0.75,,
1994,WEST,0,Latrell Sprewell,GSW,15:00,3,8,0,2,3,7,4,3,7,1,0,0,2,1,9,0.375,0,0.429
1994,WEST,0,Kevin Johnson,PHO,14:00,3,6,0,0,0,1,0,1,1,2,1,0,2,1,6,0.5,,0
1995,WEST,1,Hakeem Olajuwon,HOU,1:00,6,13,1,1,0,2,4,7,11,1,2,2,3,2,13,0.462,1,0
1995,WEST,1,Charles Barkley,PHO,23:00,7,12,1,4,0,0,5,4,9,2,2,0,2,1,15,0.583,0.25,
1995,WEST,1,Shawn Kemp,SEA,23:00,4,6,0,0,5,6,0,2,2,2,1,0,4,5,13,0.667,,0.833
1995,WEST,1,Latrell Sprewell,GSW,22:00,4,9,0,2,1,1,2,2,4,4,3,0,1,0,9,0.444,0,1
1995,WEST,1,Dan Majerle,PHO,20:00,4,12,2,7,0,0,1,4,5,3,0,0,0,1,10,0.333,0.286,
1995,WEST,0,Gary Payton,SEA,23:00,3,10,0,3,0,0,3,2,5,15,3,0,3,1,6,0.3,0,
1995,WEST,0,Mitch Richmond,SAC,22:00,10,13,3,3,0,0,3,1,4,2,0,0,0,0,23,0.769,1,
1995,WEST,0,Dikembe Mutombo,DEN,20:00,6,8,0,0,0,0,3,5,8,1,0,4,0,3,12,0.75,,
1995,WEST,0,Detlef Schrempf,SEA,18:00,4,11,1,4,0,0,0,4,4,5,0,0,0,2,9,0.364,0.25,
1995,WEST,0,Karl Malone,UTA,16:00,6,6,0,0,3,4,0,3,3,1,0,0,1,0,15,1,,0.75
1995,WEST,0,David Robinson,SAS,14:00,3,5,0,0,4,6,0,3,3,2,2,1,1,2,10,0.6,,0.667
1995,WEST,0,John Stockton,UTA,14:00,2,6,0,3,0,0,1,0,1,6,2,0,0,0,4,0.333,0,
1995,EAST,1,Anfernee Hardaway,ORL,7:00,4,9,0,2,4,6,4,1,5,11,0,0,3,1,12,0.444,0,0.667
1995,EAST,1,Scottie Pippen,CHI,6:00,5,15,2,6,0,0,0,7,7,3,2,1,4,1,12,0.333,0.333,
1995,EAST,1,Shaquille O'Neal,ORL,2:00,9,16,0,1,4,7,4,3,7,1,3,2,2,2,22,0.563,0,0.571
1995,EAST,1,Reggie Miller,IND,23:00,3,9,3,6,0,0,0,0,0,2,1,1,1,0,9,0.333,0.5,
1995,EAST,1,Grant Hill,DET,20:00,5,8,0,0,0,4,0,0,0,3,2,0,1,2,10,0.625,,0
1995,EAST,0,Patrick Ewing,NYK,22:00,4,7,0,0,2,2,0,3,3,1,1,0,5,3,10,0.571,,1
1995,EAST,0,Joe Dumars,DET,21:00,5,8,1,2,0,0,0,0,0,6,1,0,1,1,11,0.625,0.5,
1995,EAST,0,Larry Johnson,CHH,20:00,2,3,1,1,2,2,1,3,4,2,0,0,1,0,7,0.667,1,1
1995,EAST,0,Alonzo Mourning,CHH,19:00,4,9,0,1,2,3,0,8,8,1,0,1,1,5,10,0.444,0,0.667
1995,EAST,0,Dana Barros,PHI,11:00,2,5,1,3,0,0,0,1,1,3,0,0,0,0,5,0.4,0.333,
1995,EAST,0,Vin Baker,MIL,11:00,0,2,0,0,2,4,2,0,2,0,0,1,1,1,2,0,,0.5
1995,EAST,0,Tyrone Hill,CLE,6:00,1,1,0,0,0,0,2,2,4,0,0,0,0,1,2,1,,
1996,EAST,1,Anfernee Hardaway,ORL,7:00,6,8,2,4,4,4,0,3,3,7,2,0,3,0,18,0.75,0.5,1
1996,EAST,1,Shaquille O'Neal,ORL,4:00,10,16,0,0,5,11,3,7,10,1,1,2,1,3,25,0.625,,0.455
1996,EAST,1,Grant Hill,DET,2:00,6,10,0,0,2,2,1,2,3,2,1,0,2,1,14,0.6,,1
1996,EAST,1,Scottie Pippen,CHI,1:00,4,7,0,1,0,0,2,6,8,5,3,0,6,0,8,0.571,0,
1996,EAST,1,Michael Jordan,CHI,22:00,8,11,0,0,4,4,1,3,4,1,1,0,0,1,20,0.727,,1
1996,EAST,0,Terrell Brandon,CLE,20:00,4,10,1,4,2,2,1,0,1,3,1,1,3,1,11,0.4,0.25,1
1996,EAST,0,Reggie Miller,IND,18:00,4,8,0,4,0,0,0,2,2,2,1,0,1,2,8,0.5,0,
1996,EAST,0,Juwan Howard,WSB,16:00,1,5,0,0,0,0,4,2,6,2,1,0,0,3,2,0.2,,
1996,EAST,0,Glen Rice,CHH,15:00,1,5,1,2,4,4,0,1,1,2,0,0,2,2,7,0.2,0.5,1
1996,EAST,0,Vin Baker,MIL,14:00,2,5,0,0,2,2,1,1,2,2,1,0,0,4,6,0.4,,1
1996,EAST,0,Alonzo Mourning,MIA,13:00,1,6,0,0,0,0,0,1,1,0,0,1,2,2,2,0.167,,
1996,EAST,0,Patrick Ewing,NYK,12:00,3,7,0,0,2,2,1,2,3,1,3,1,0,2,8,0.429,,1
1996,WEST,1,Shawn Kemp,SEA,22:00,6,12,0,2,1,2,2,2,4,1,0,1,3,4,13,0.5,0,0.5
1996,WEST,1,Jason Kidd,DAL,22:00,3,4,1,2,0,0,2,4,6,10,2,0,2,1,7,0.75,0.5,
1996,WEST,1,Clyde Drexler,HOU,19:00,5,8,1,4,0,0,0,2,2,3,3,0,3,0,11,0.625,0.25,
1996,WEST,1,Charles Barkley,PHO,16:00,4,6,0,0,0,0,0,0,0,1,0,0,2,1,8,0.667,,
1996,WEST,1,Hakeem Olajuwon,HOU,14:00,2,8,0,0,0,0,1,2,3,0,0,0,0,2,4,0.25,,
1996,WEST,0,Gary Payton,SEA,4:00,6,10,0,1,6,6,3,2,5,5,5,0,6,1,18,0.6,0,1
1996,WEST,0,Mitch Richmond,SAC,1:00,3,10,0,3,1,2,0,2,2,2,1,0,2,0,7,0.3,0,0.5
1996,WEST,0,David Robinson,SAS,23:00,8,13,0,0,2,2,6,5,11,2,2,2,1,4,18,0.615,,1
1996,WEST,0,Sean Elliott,SAS,22:00,5,12,2,6,1,1,2,3,5,2,0,0,2,4,13,0.417,0.333,1
1996,WEST,0,Karl Malone,UTA,20:00,2,6,0,0,7,8,0,9,9,2,1,0,1,1,11,0.333,,0.875
1996,WEST,0,John Stockton,UTA,18:00,2,9,0,7,0,0,0,1,1,3,0,0,1,2,4,0.222,0,
1996,WEST,0,Dikembe Mutombo,DEN,11:00,2,4,0,0,0,0,6,3,9,0,0,0,3,3,4,0.5,,
1997,EAST,1,Michael Jordan,CHI,2:00,5,14,0,0,4,7,3,8,11,11,2,0,3,4,14,0.357,,0.571
1997,EAST,1,Scottie Pippen,CHI,1:00,4,9,0,3,0,0,0,3,3,2,0,0,2,0,8,0.444,0,
1997,EAST,1,Anfernee Hardaway,ORL,0:00,7,10,3,5,2,2,4,3,7,3,2,0,1,2,19,0.7,0.6,1
1997,EAST,1,Grant Hill,DET,22:00,4,7,0,0,3,4,2,1,3,2,1,1,3,2,11,0.571,,0.75
1997,EAST,1,Dikembe Mutombo,ATL,15:00,1,5,0,0,1,2,2,6,8,0,0,1,1,0,3,0.2,,0.5
1997,EAST,0,Glen Rice,CHH,1:00,10,24,4,7,2,2,1,0,1,1,2,0,1,2,26,0.417,0.571,1
1997,EAST,0,Vin Baker,MIL,0:00,8,12,0,0,3,4,7,5,12,1,0,0,0,2,19,0.667,,0.75
1997,EAST,0,Christian Laettner,ATL,0:00,3,5,0,0,1,1,4,7,11,2,1,1,2,4,7,0.6,,1
1997,EAST,0,Terrell Brandon,CLE,17:00,4,11,2,4,0,0,1,2,3,8,2,0,0,2,10,0.364,0.5,
1997,EAST,0,Tim Hardaway,MIA,14:00,4,10,2,6,0,0,0,3,3,2,1,0,2,1,10,0.4,0.333,
1997,EAST,0,Chris Webber,WSB,14:00,1,4,0,0,0,0,1,3,4,3,1,0,3,3,2,0.25,,
1997,EAST,0,Joe Dumars,DET,10:00,1,4,1,4,0,0,0,1,1,1,0,0,0,0,3,0.25,0.25,
1997,WEST,1,Gary Payton,SEA,4:00,7,15,1,5,2,2,0,1,1,10,2,0,4,2,17,0.467,0.2,1
1997,WEST,1,John Stockton,UTA,20:00,5,6,2,2,0,0,0,0,0,5,1,0,1,2,12,0.833,1,
1997,WEST,1,Hakeem Olajuwon,HOU,20:00,5,8,0,0,1,2,0,3,3,1,0,1,1,1,11,0.625,,0.5
1997,WEST,1,Karl Malone,UTA,20:00,2,8,0,0,0,0,1,3,4,0,1,1,0,0,4,0.25,,
1997,WEST,1,Shawn Kemp,SEA,19:00,4,7,1,2,1,2,1,3,4,1,1,0,1,1,10,0.571,0.5,0.5
1997,WEST,0,Latrell Sprewell,GSW,1:00,7,12,1,3,4,6,1,2,3,1,2,0,1,2,19,0.583,0.333,0.667
1997,WEST,0,Mitch Richmond,SAC,22:00,3,7,3,4,0,0,1,2,3,4,0,0,1,1,9,0.429,0.75,
1997,WEST,0,Detlef Schrempf,SEA,20:00,5,8,1,3,0,1,1,3,4,2,0,1,1,3,11,0.625,0.333,0
1997,WEST,0,Tom Gugliotta,MIN,19:00,3,7,0,1,3,4,1,7,8,3,2,0,3,3,9,0.429,0,0.75
1997,WEST,0,Kevin Garnett,MIN,18:00,1,7,0,0,4,4,1,8,9,1,0,1,0,2,6,0.143,,1
1997,WEST,0,Eddie Jones,LAL,17:00,3,4,0,1,4,7,1,0,1,1,1,2,3,1,10,0.75,0,0.571
1997,WEST,0,Chris Gatling,DAL,12:00,1,8,0,0,0,0,0,2,2,0,1,0,0,1,2,0.125,,
1998,EAST,1,Michael Jordan,CHI,8:00,10,18,1,1,2,3,1,5,6,8,3,0,2,0,23,0.556,1,0.667
1998,EAST,1,Grant Hill,DET,4:00,7,11,1,1,0,0,0,3,3,5,1,0,0,1,15,0.636,1,
1998,EAST,1,Shawn Kemp,CLE,1:00,5,10,0,1,2,2,2,9,11,2,4,0,4,2,12,0.5,0,1
1998,EAST,1,Dikembe Mutombo,ATL,19:00,4,5,0,0,1,2,1,6,7,0,0,1,0,3,9,0.8,,0.5
1998,EAST,1,Anfernee Hardaway,ORL,12:00,3,5,0,1,0,0,0,0,0,3,0,0,1,0,6,0.6,0,
1998,EAST,0,Rik Smits,IND,21:00,3,7,0,0,4,4,2,5,7,4,0,2,0,3,10,0.429,,1
1998,EAST,0,Reggie Miller,IND,20:00,6,8,1,2,1,2,0,0,0,0,1,0,0,2,14,0.75,0.5,0.5
1998,EAST,0,Jayson Williams,NJN,19:00,2,3,0,0,0,0,3,7,10,1,0,0,0,2,4,0.667,,
1998,EAST,0,Tim Hardaway,MIA,17:00,3,8,2,5,0,0,0,1,1,6,0,0,6,0,8,0.375,0.4,
1998,EAST,0,Glen Rice,CHH,16:00,6,14,4,6,0,0,1,0,1,0,0,0,1,0,16,0.429,0.667,
1998,EAST,0,Steve Smith,ATL,16:00,6,12,2,5,0,0,2,1,3,0,0,0,0,0,14,0.5,0.4,
1998,EAST,0,Antoine Walker,BOS,15:00,2,8,0,3,0,0,1,2,3,3,1,0,1,0,4,0.25,0,
1998,WEST,1,Gary Payton,SEA,0:00,3,7,1,3,0,0,2,1,3,13,2,0,4,0,7,0.429,0.333,
1998,WEST,1,Kobe Bryant,LAL,22:00,7,16,2,3,2,2,2,4,6,1,2,0,1,1,18,0.438,0.667,1
1998,WEST,1,Kevin Garnett,MIN,21:00,6,11,0,1,0,0,1,3,4,2,2,1,3,0,12,0.545,0,
1998,WEST,1,Shaquille O'Neal,LAL,18:00,5,10,0,0,2,4,2,2,4,1,0,0,2,2,12,0.5,,0.5
1998,WEST,1,Karl Malone,UTA,17:00,2,4,0,0,0,0,0,3,3,2,2,0,0,1,4,0.5,,
1998,WEST,0,Eddie Jones,LAL,1:00,7,19,0,7,1,2,7,4,11,1,2,0,0,1,15,0.368,0,0.5
1998,WEST,0,David Robinson,SAS,22:00,3,4,0,0,9,10,2,4,6,0,2,2,2,1,15,0.75,,0.9
1998,WEST,0,Vin Baker,SEA,21:00,3,12,0,0,2,2,6,2,8,0,1,0,0,1,8,0.25,,1
1998,WEST,0,Nick Van Exel,LAL,20:00,5,14,1,6,2,2,1,2,3,2,0,0,2,0,13,0.357,0.167,1
1998,WEST,0,Jason Kidd,PHO,19:00,0,1,0,0,0,0,0,1,1,9,0,0,2,2,0,0,,
1998,WEST,0,Mitch Richmond,SAC,17:00,4,11,0,2,0,0,0,1,1,2,0,0,0,0,8,0.364,0,
1998,WEST,0,Tim Duncan,SAS,14:00,1,4,0,1,0,0,1,10,11,1,0,0,2,0,2,0.25,0,
2000,WEST,1,Kevin Garnett,MIN,11:00,10,19,0,1,4,4,3,7,10,5,1,1,0,1,24,0.526,0,1
2000,WEST,1,Jason Kidd,PHO,10:00,4,9,3,6,0,0,0,5,5,14,4,0,6,0,11,0.444,0.5,
2000,WEST,1,Tim Duncan,SAS,9:00,12,14,0,0,0,0,7,7,14,4,1,1,2,3,24,0.857,,
2000,WEST,1,Kobe Bryant,LAL,4:00,7,16,1,4,0,0,1,0,1,3,2,0,1,3,15,0.438,0.25,
2000,WEST,1,Shaquille O'Neal,LAL,1:00,11,20,0,0,0,2,4,5,9,3,0,3,4,2,22,0.55,,0
2000,WEST,0,Rasheed Wallace,POR,21:00,3,6,0,0,3,4,2,2,4,0,1,1,0,0,9,0.5,,0.75
2000,WEST,0,Gary Payton,SEA,20:00,1,8,0,4,3,3,0,4,4,8,2,0,2,1,5,0.125,0,1
2000,WEST,0,Chris Webber,SAC,13:00,3,10,0,0,0,0,3,5,8,3,1,0,2,2,6,0.3,,
2000,WEST,0,John Stockton,UTA,11:00,5,5,0,0,0,0,0,0,0,2,1,0,0,2,10,1,,
2000,WEST,0,Michael Finley,DAL,10:00,5,6,1,2,0,0,0,1,1,0,0,0,1,0,11,0.833,0.5,
2000,WEST,0,David Robinson,SAS,7:00,0,1,0,0,0,0,1,1,2,0,0,0,1,1,0,0,,
2000,WEST,0,Karl Malone,UTA,3:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2000,EAST,1,Allen Iverson,PHI,4:00,10,18,2,2,4,5,2,0,2,9,2,0,5,0,26,0.556,1,0.8
2000,EAST,1,Vince Carter,TOR,4:00,6,11,0,2,0,0,2,2,4,2,2,0,2,0,12,0.545,0,
2000,EAST,1,Alonzo Mourning,MIA,3:00,7,11,0,0,1,2,2,5,7,1,3,4,1,4,15,0.636,,0.5
2000,EAST,1,Eddie Jones,CHH,21:00,4,7,2,3,0,0,1,3,4,3,1,0,1,1,10,0.571,0.667,
2000,EAST,1,Grant Hill,DET,19:00,3,7,0,1,1,1,0,3,3,5,1,0,3,0,7,0.429,0,1
2000,EAST,0,Reggie Miller,IND,21:00,1,7,1,6,2,2,0,2,2,3,1,0,1,1,5,0.143,0.167,1
2000,EAST,0,Allan Houston,NYK,18:00,3,10,1,3,4,4,0,0,0,2,1,0,1,1,11,0.3,0.333,1
2000,EAST,0,Ray Allen,MIL,17:00,4,13,1,6,5,6,1,0,1,2,3,1,3,2,14,0.308,0.167,0.833
2000,EAST,0,Glenn Robinson,MIL,17:00,5,10,0,0,0,0,2,4,6,0,0,0,0,0,10,0.5,,
2000,EAST,0,Dikembe Mutombo,ATL,16:00,2,4,0,0,0,0,2,6,8,0,0,0,2,0,4,0.5,,
2000,EAST,0,Jerry Stackhouse,DET,14:00,4,7,0,0,0,0,0,1,1,2,0,0,1,2,8,0.571,,
