Year,Team,Starter,Player,Tm,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%
1985,EAST,1,Julius Erving,PHI,23:00,5,15,0,0,2,2,2,2,4,3,1,0,1,3,12,0.333,,1
1985,EAST,1,Michael Jordan,CHI,22:00,2,9,0,1,3,4,3,3,6,2,3,1,1,4,7,0.222,0,0.75
1985,EAST,0,Bernard King,NYK,22:00,6,10,0,0,1,2,4,3,7,1,0,0,1,5,13,0.6,,0.5
1985,EAST,0,Sidney Moncrief,MIL,22:00,1,5,0,0,6,6,2,3,5,4,0,0,2,1,8,0.2,,1
1985,EAST,0,Terry Cummings,MIL,16:00,7,17,0,0,3,4,4,3,7,0,0,1,0,1,17,0.412,,0.75
1985,EAST,0,Micheal Ray Richardson,NJN,13:00,2,8,0,2,1,2,2,0,2,1,2,0,2,3,5,0.25,0,0.5
1985,EAST,0,Dennis Johnson,BOS,12:00,3,7,0,0,2,2,1,5,6,3,0,0,1,2,8,0.429,,1
1985,EAST,0,Bill Laimbeer,DET,11:00,2,4,0,0,1,2,1,2,3,1,0,0,0,1,5,0.5,,0.5
1985,EAST,0,Robert Parish,BOS,10:00,2,5,0,0,0,0,3,3,6,1,0,0,0,0,4,0.4,,
1986,EAST,1,Isiah Thomas,DET,36:00:00,11,19,0,1,8,9,0,1,1,10,5,0,5,2,30,0.579,0,0.889
1986,EAST,1,Larry Bird,BOS,35:00:00,8,18,2,4,5,6,2,6,8,5,7,0,4,5,23,0.444,0.5,0.833
1986,EAST,1,Moses Malone,PHI,34:00:00,5,12,0,0,6,9,5,8,13,0,1,0,1,4,16,0.417,,0.667
1986,EAST,1,Sidney Moncrief,MIL,26:00:00,4,11,1,1,7,7,3,0,3,1,0,1,0,0,16,0.364,1,1
1986,EAST,1,Julius Erving,PHI,19:00,4,10,0,0,0,2,1,3,4,2,2,0,2,2,8,0.4,,0
1986,EAST,0,Buck Williams,NJN,20:00,5,8,0,0,3,5,3,4,7,4,0,0,1,0,13,0.625,,0.6
1986,EAST,0,Kevin McHale,BOS,20:00,3,8,0,0,2,2,3,7,10,2,0,4,0,4,8,0.375,,1
1986,EAST,0,Dominique Wilkins,ATL,17:00,6,15,0,0,1,2,2,1,3,2,0,1,1,2,13,0.4,,0.5
1986,EAST,0,Maurice Cheeks,PHI,14:00,3,6,0,0,0,0,0,0,0,2,2,0,3,0,6,0.5,,
1986,EAST,0,Jeff Malone,WSB,12:00,3,5,0,0,0,0,0,1,1,4,1,0,0,0,6,0.6,,
1986,EAST,0,Robert Parish,BOS,7:00,0,0,0,0,0,2,0,1,1,0,0,1,1,0,0,,,0
1986,WEST,1,Kareem Abdul-Jabbar,LAL,32:00:00,9,15,0,0,3,4,2,5,7,2,2,2,5,4,21,0.6,,0.75
1986,WEST,1,James Worthy,LAL,28:00:00,10,19,0,2,0,0,2,1,3,2,0,2,1,3,20,0.526,0,
1986,WEST,1,Magic Johnson,LAL,28:00:00,1,3,0,1,4,4,0,4,4,15,1,0,9,4,6,0.333,0,1
1986,WEST,1,Ralph Sampson,HOU,21:00,7,11,0,0,2,2,1,3,4,1,0,0,2,4,16,0.636,,1
1986,WEST,1,Alvin Robertson,SAS,20:00,2,6,0,0,0,0,1,8,9,5,0,0,4,1,4,0.333,,
1986,WEST,0,Rolando Blackman,DAL,22:00,6,11,0,0,0,0,1,3,4,8,2,1,1,1,12,0.545,,
1986,WEST,0,Adrian Dantley,UTA,17:00,3,8,0,0,2,2,1,6,7,3,1,0,0,1,8,0.375,,1
1986,WEST,0,Alex English,DEN,16:00,8,12,0,0,0,0,1,0,1,2,0,1,0,0,16,0.667,,
